county_fips,2_or_more_cars_p,0_or_1_car_p,EV DC Fast Count,EV Level1 EVSE Num,EV Level2 EVSE Num,nhb_percentage,hisp_percentage,pov_percentage,white_percentage,state_y,county_name,state_po,party,state_party
47167,0.7093552168815944,0.29064478311840564,0.0,0.0,0.0,0.18051622562900757,0.02725970771083553,0.1372261823389643,0.759073007193308,TENNESSEE,TIPTON,TN,REPUBLICAN,REPUBLICAN
47169,0.6791093647675179,0.320890635232482,0.0,0.0,0.0,0.09516348062258435,0.006789930011490651,0.15230335318082106,0.8447717538911522,TENNESSEE,TROUSDALE,TN,REPUBLICAN,REPUBLICAN
47171,0.6101582236404733,0.38984177635952666,0.0,0.0,2.0,0.003655793025871766,0.046344206974128235,0.20545556805399326,0.9344206974128234,TENNESSEE,UNICOI,TN,REPUBLICAN,REPUBLICAN
47173,0.6766769576199831,0.32332304238001686,0.0,0.0,0.0,0.004457575286373296,0.0157051780438501,0.21230498108122117,0.9641839008966983,TENNESSEE,UNION,TN,REPUBLICAN,REPUBLICAN
47175,0.6574202496532593,0.34257975034674065,0.0,0.0,6.0,0.002279102384291725,0.010168302945301542,0.18583450210378682,0.9600280504908836,TENNESSEE,VAN BUREN,TN,REPUBLICAN,REPUBLICAN
47177,0.6079207920792079,0.3920792079207921,0.0,0.0,5.0,0.014065358184604736,0.08928659712265784,0.22502101151925644,0.8553171503436001,TENNESSEE,WARREN,TN,REPUBLICAN,REPUBLICAN
47179,0.6204549727392368,0.3795450272607633,0.0,0.0,4.0,0.04001416709299122,0.03363110463972296,0.1511943646452324,0.888733225768368,TENNESSEE,WASHINGTON,TN,REPUBLICAN,REPUBLICAN
47181,0.6640913671481357,0.3359086328518643,0.0,0.0,0.0,0.06823232626584179,0.020121328608324825,0.17136164334194245,0.9010150759805394,TENNESSEE,WAYNE,TN,REPUBLICAN,REPUBLICAN
47183,0.6063947078280044,0.3936052921719956,2.0,0.0,3.0,0.08648069945875216,0.02420745851424493,0.18595729495033606,0.8697733896389699,TENNESSEE,WEAKLEY,TN,REPUBLICAN,REPUBLICAN
47185,0.6602351522460055,0.33976484775399457,0.0,0.0,2.0,0.020090293453724605,0.024604966139954852,0.1708803611738149,0.9358916478555305,TENNESSEE,WHITE,TN,REPUBLICAN,REPUBLICAN
47187,0.7919940539392653,0.20800594606073478,7.0,0.0,51.0,0.04216823387362336,0.04736837290988255,0.04332991840766895,0.8502844755040064,TENNESSEE,WILLIAMSON,TN,REPUBLICAN,REPUBLICAN
47189,0.7242890194713458,0.2757109805286542,3.0,0.0,8.0,0.06974815886871245,0.0404935814808952,0.0804595101874675,0.855604049358148,TENNESSEE,WILSON,TN,REPUBLICAN,REPUBLICAN
48001,0.5902545719667052,0.40974542803329483,1.0,0.0,8.0,0.2095812522682889,0.1752760831619515,0.11345764996629971,0.5929868828093946,TEXAS,ANDERSON,TX,REPUBLICAN,REPUBLICAN
48003,0.6570442992011619,0.3429557007988381,0.0,0.0,0.0,0.01801548995397912,0.5600516331799305,0.10298574475249747,0.40492760130205413,TEXAS,ANDREWS,TX,REPUBLICAN,REPUBLICAN
48005,0.5997141279277522,0.4002858720722477,0.0,0.0,1.0,0.1464951430821738,0.2188637894232196,0.17730318353556224,0.6074400447452829,TEXAS,ANGELINA,TX,REPUBLICAN,REPUBLICAN
48007,0.5947837150127226,0.40521628498727735,0.0,0.0,0.0,0.014739732665670557,0.27282639421717886,0.19993538747324638,0.6740298025279651,TEXAS,ARANSAS,TX,REPUBLICAN,REPUBLICAN
48009,0.6953781512605042,0.30462184873949577,0.0,0.0,0.0,0.008647172602116282,0.08271703265445443,0.09170554101718056,0.8842871771532598,TEXAS,ARCHER,TX,REPUBLICAN,REPUBLICAN
48011,0.7584745762711864,0.24152542372881355,0.0,0.0,0.0,0.0036534446764091857,0.06837160751565761,0.07045929018789145,0.9065762004175365,TEXAS,ARMSTRONG,TX,REPUBLICAN,REPUBLICAN
48013,0.6462598297263924,0.3537401702736076,0.0,0.0,0.0,0.0025395265011878432,0.6389776357827476,0.1489104612107807,0.3387605472270009,TEXAS,ATASCOSA,TX,REPUBLICAN,REPUBLICAN
48015,0.6958608821664705,0.3041391178335296,0.0,0.0,2.0,0.08713005242685608,0.26446812108912565,0.10684931506849316,0.6265854895991883,TEXAS,AUSTIN,TX,REPUBLICAN,REPUBLICAN
48017,0.6556134533396494,0.34438654666035057,0.0,0.0,0.0,0.0064861816130851666,0.6426959954878737,0.13917089678511,0.33079526226734346,TEXAS,BAILEY,TX,REPUBLICAN,REPUBLICAN
48019,0.730405241446251,0.2695947585537491,0.0,0.0,7.0,0.0079033221522768,0.18425768506180215,0.14791159307080826,0.782612691264991,TEXAS,BANDERA,TX,REPUBLICAN,REPUBLICAN
48021,0.7113829157624778,0.2886170842375222,0.0,0.0,0.0,0.07383411845913511,0.3680080409799339,0.09769064025091732,0.5298933116969616,TEXAS,BASTROP,TX,REPUBLICAN,REPUBLICAN
48023,0.6404341926729986,0.35956580732700133,0.0,0.0,0.0,0.031189083820662766,0.10303536619326092,0.10637705374547479,0.8493455861876914,TEXAS,BAYLOR,TX,REPUBLICAN,REPUBLICAN
48025,0.5515989223380579,0.44840107766194215,0.0,0.0,0.0,0.0775442782417179,0.5858493163255942,0.16527484628796918,0.3178856566027347,TEXAS,BEE,TX,REPUBLICAN,REPUBLICAN
48027,0.6230736603986993,0.37692633960130073,52.0,0.0,32.0,0.21235930761229094,0.2443635386107832,0.13421732371813602,0.4640189810540095,TEXAS,BELL,TX,REPUBLICAN,REPUBLICAN
48029,0.5723535902518915,0.4276464097481085,44.0,0.0,324.0,0.07083102917390367,0.5999927305392642,0.15975418837769004,0.2801001108592762,TEXAS,BEXAR,TX,DEMOCRAT,REPUBLICAN
48031,0.7149173842215499,0.28508261577845007,0.0,0.0,0.0,0.000177320684457842,0.19265892366344534,0.09362532139374058,0.7724089014983598,TEXAS,BLANCO,TX,REPUBLICAN,REPUBLICAN
48033,0.6973180076628352,0.30268199233716475,0.0,0.0,0.0,0.0,0.08421052631578947,0.02556390977443609,0.8947368421052632,TEXAS,BORDEN,TX,REPUBLICAN,REPUBLICAN
48035,0.6961060948081264,0.3038939051918736,0.0,0.0,0.0,0.015450833241364087,0.1800573888091822,0.1417613949895155,0.7817569804657323,TEXAS,BOSQUE,TX,REPUBLICAN,REPUBLICAN
48037,0.5789629717470576,0.4210370282529424,24.0,0.0,2.0,0.2425472522320953,0.07562488013808093,0.161499286155682,0.6394446930469433,TEXAS,BOWIE,TX,REPUBLICAN,REPUBLICAN
48039,0.7096630235260437,0.29033697647395634,0.0,0.0,22.0,0.13341280625086513,0.30150085169732116,0.08913302014977444,0.48113695236427223,TEXAS,BRAZORIA,TX,REPUBLICAN,REPUBLICAN
48041,0.588706310955941,0.41129368904405905,0.0,0.0,22.0,0.10164101955810632,0.25328819807201874,0.23271272349025746,0.5605425355736725,TEXAS,BRAZOS,TX,REPUBLICAN,REPUBLICAN
48043,0.5946220192795535,0.40537798072044645,0.0,0.0,2.0,0.0022786458333333335,0.4447699652777778,0.12120225694444445,0.5123697916666666,TEXAS,BREWSTER,TX,REPUBLICAN,REPUBLICAN
48045,0.6962025316455696,0.3037974683544304,0.0,0.0,0.0,0.02457956015523933,0.352522639068564,0.1539456662354463,0.5724450194049159,TEXAS,BRISCOE,TX,REPUBLICAN,REPUBLICAN
48047,0.5550682261208577,0.4449317738791423,0.0,0.0,0.0,0.0005571030640668524,0.938857938718663,0.3583565459610028,0.055710306406685235,TEXAS,BROOKS,TX,DEMOCRAT,REPUBLICAN
48049,0.6483304794520548,0.3516695205479452,0.0,0.0,2.0,0.03541787809906433,0.21935296294338424,0.13789184331553628,0.7203309192789554,TEXAS,BROWN,TX,REPUBLICAN,REPUBLICAN
48051,0.7047675451584247,0.29523245484157534,0.0,0.0,0.0,0.12539886917091195,0.2047248502491183,0.12304764037395734,0.6503386889100375,TEXAS,BURLESON,TX,REPUBLICAN,REPUBLICAN
48053,0.6834826992699863,0.31651730073001366,0.0,0.0,0.0,0.01816393442622951,0.22120218579234974,0.10893989071038251,0.7375956284153006,TEXAS,BURNET,TX,REPUBLICAN,REPUBLICAN
48055,0.6468052930056711,0.3531947069943289,0.0,0.0,0.0,0.05857346440907225,0.514770174633463,0.16842588343276732,0.4030337431463008,TEXAS,CALDWELL,TX,REPUBLICAN,REPUBLICAN
